1  38.647 s (17 allocations: 37.02 MiB)
2  27.678 s (17 allocations: 37.02 MiB)
3  22.925 s (17 allocations: 37.02 MiB)
4  21.024 s (17 allocations: 37.02 MiB)
5  20.311 s (17 allocations: 37.02 MiB)
6  19.756 s (17 allocations: 37.02 MiB)
7  19.702 s (17 allocations: 37.02 MiB)
8  21.566 s (17 allocations: 37.02 MiB)
9  19.960 s (17 allocations: 37.02 MiB)
10  19.816 s (17 allocations: 37.02 MiB)
11  19.897 s (17 allocations: 37.02 MiB)
12  21.589 s (17 allocations: 37.02 MiB)
13  19.884 s (17 allocations: 37.02 MiB)
14  19.601 s (17 allocations: 37.02 MiB)
15  20.025 s (17 allocations: 37.02 MiB)
16  19.849 s (17 allocations: 37.02 MiB)
17  19.510 s (17 allocations: 37.02 MiB)
18  19.882 s (17 allocations: 37.02 MiB)
19  20.274 s (17 allocations: 37.02 MiB)
20  20.197 s (17 allocations: 37.02 MiB)
21  20.092 s (17 allocations: 37.02 MiB)
22  22.783 s (17 allocations: 37.02 MiB)
23  20.288 s (17 allocations: 37.02 MiB)
24  21.258 s (17 allocations: 37.02 MiB)
25  23.477 s (17 allocations: 37.02 MiB)
26  22.200 s (17 allocations: 37.02 MiB)
27  23.560 s (17 allocations: 37.02 MiB)
28  21.428 s (17 allocations: 37.02 MiB)
29  25.237 s (17 allocations: 37.02 MiB)
30  24.059 s (17 allocations: 37.02 MiB)
31  21.947 s (17 allocations: 37.02 MiB)
32  26.349 s (17 allocations: 37.02 MiB)
