1  1.790 s (341 allocations: 175.53 MiB)
2  1.903 s (341 allocations: 175.53 MiB)
3  1.851 s (341 allocations: 175.53 MiB)
4  1.880 s (341 allocations: 175.53 MiB)
5  1.806 s (341 allocations: 175.53 MiB)
6  1.804 s (341 allocations: 175.53 MiB)
7  1.833 s (341 allocations: 175.53 MiB)
8  1.859 s (341 allocations: 175.53 MiB)
9  1.801 s (341 allocations: 175.53 MiB)
10  1.789 s (341 allocations: 175.53 MiB)
11  1.862 s (341 allocations: 175.53 MiB)
12  1.647 s (341 allocations: 175.53 MiB)
13  1.828 s (341 allocations: 175.53 MiB)
14  1.761 s (341 allocations: 175.53 MiB)
15  1.357 s (341 allocations: 175.53 MiB)
16  1.799 s (341 allocations: 175.53 MiB)
17  1.834 s (341 allocations: 175.53 MiB)
18  1.769 s (341 allocations: 175.53 MiB)
19  1.838 s (341 allocations: 175.53 MiB)
20  1.842 s (341 allocations: 175.53 MiB)
21  1.869 s (341 allocations: 175.53 MiB)
22  1.401 s (341 allocations: 175.53 MiB)
23  1.888 s (341 allocations: 175.53 MiB)
24  1.813 s (341 allocations: 175.53 MiB)
25  1.805 s (341 allocations: 175.53 MiB)
26  1.684 s (341 allocations: 175.53 MiB)
27  1.625 s (341 allocations: 175.53 MiB)
28  1.804 s (341 allocations: 175.53 MiB)
29  1.895 s (341 allocations: 175.53 MiB)
30  1.915 s (341 allocations: 175.53 MiB)
31  1.944 s (341 allocations: 175.53 MiB)
32  2.038 s (341 allocations: 175.53 MiB)
33  2.173 s (341 allocations: 175.53 MiB)
34  1.872 s (341 allocations: 175.53 MiB)
35  1.912 s (341 allocations: 175.53 MiB)
36  1.878 s (341 allocations: 175.53 MiB)
