1  643.362 ms (0 allocations: 0 bytes)
2  359.365 ms (0 allocations: 0 bytes)
3  241.892 ms (0 allocations: 0 bytes)
4  179.574 ms (0 allocations: 0 bytes)
5  191.058 ms (0 allocations: 0 bytes)
6  120.339 ms (0 allocations: 0 bytes)
7  105.210 ms (0 allocations: 0 bytes)
8  93.327 ms (0 allocations: 0 bytes)
9  83.556 ms (0 allocations: 0 bytes)
10  98.490 ms (0 allocations: 0 bytes)
11  82.832 ms (0 allocations: 0 bytes)
12  62.467 ms (0 allocations: 0 bytes)
13  79.478 ms (0 allocations: 0 bytes)
14  53.345 ms (0 allocations: 0 bytes)
15  64.847 ms (0 allocations: 0 bytes)
16  64.364 ms (0 allocations: 0 bytes)
17  57.511 ms (0 allocations: 0 bytes)
18  56.199 ms (0 allocations: 0 bytes)
19  51.404 ms (0 allocations: 0 bytes)
20  52.725 ms (0 allocations: 0 bytes)
21  50.417 ms (0 allocations: 0 bytes)
22  47.221 ms (0 allocations: 0 bytes)
23  40.081 ms (0 allocations: 0 bytes)
24  43.425 ms (0 allocations: 0 bytes)
25  41.933 ms (0 allocations: 0 bytes)
26  46.454 ms (0 allocations: 0 bytes)
27  52.545 ms (0 allocations: 0 bytes)
28  43.414 ms (0 allocations: 0 bytes)
29  43.206 ms (0 allocations: 0 bytes)
30  42.472 ms (0 allocations: 0 bytes)
31  33.638 ms (0 allocations: 0 bytes)
32  39.936 ms (0 allocations: 0 bytes)
